y,time
212.0,2921
252.0,2922
236.0,2923
259.0,2924
188.0,2925
181.0,2926
215.0,2927
248.0,2928
233.0,2929
237.0,2930
237.0,2931
279.0,2932
188.0,2933
228.0,2934
241.0,2935
238.0,2936
227.0,2937
214.0,2938
230.0,2939
247.0,2940
223.0,2941
231.0,2942
234.0,2943
223.0,2944
250.0,2945
223.0,2946
234.0,2947
293.0,2948
235.0,2949
225.0,2950
305.0,2951
252.0,2952
230.0,2953
258.0,2954
219.0,2955
216.0,2956
199.0,2957
252.0,2958
240.0,2959
224.0,2960
243.0,2961
247.0,2962
257.0,2963
278.0,2964
256.0,2965
270.0,2966
256.0,2967
267.0,2968
242.0,2969
255.0,2970
240.0,2971
242.0,2972
238.0,2973
230.0,2974
242.0,2975
230.0,2976
260.0,2977
225.0,2978
255.0,2979
275.0,2980
258.0,2981
290.0,2982
251.0,2983
248.0,2984
238.0,2985
248.0,2986
261.0,2987
275.0,2988
226.0,2989
241.0,2990
278.0,2991
217.0,2992
278.0,2993
223.0,2994
222.0,2995
202.0,2996
202.0,2997
221.0,2998
250.0,2999
232.0,3000
248.0,3001
260.0,3002
239.0,3003
232.0,3004
187.0,3005
192.0,3006
189.0,3007
196.0,3008
200.0,3009
213.0,3010
232.0,3011
224.0,3012
270.0,3013
236.0,3014
312.0,3015
231.0,3016
224.0,3017
237.0,3018
255.0,3019
232.0,3020
253.0,3021
201.0,3022
227.0,3023
221.0,3024
188.0,3025
215.0,3026
208.0,3027
224.0,3028
212.0,3029
248.0,3030
202.0,3031
203.0,3032
205.0,3033
204.0,3034
186.0,3035
193.0,3036
238.0,3037
224.0,3038
259.0,3039
211.0,3040
202.0,3041
246.0,3042
192.0,3043
210.0,3044
204.0,3045
213.0,3046
194.0,3047
252.0,3048
225.0,3049
215.0,3050
228.0,3051
211.0,3052
212.0,3053
255.0,3054
198.0,3055
234.0,3056
213.0,3057
205.0,3058
208.0,3059
247.0,3060
196.0,3061
196.0,3062
195.0,3063
211.0,3064
225.0,3065
192.0,3066
225.0,3067
199.0,3068
199.0,3069
222.0,3070
196.0,3071
176.0,3072
154.0,3073
200.0,3074
169.0,3075
241.0,3076
200.0,3077
209.0,3078
202.0,3079
245.0,3080
209.0,3081
205.0,3082
234.0,3083
192.0,3084
211.0,3085
190.0,3086
193.0,3087
221.0,3088
220.0,3089
268.0,3090
177.0,3091
205.0,3092
159.0,3093
183.0,3094
165.0,3095
178.0,3096
186.0,3097
137.0,3098
163.0,3099
183.0,3100
209.0,3101
190.0,3102
195.0,3103
206.0,3104
202.0,3105
158.0,3106
182.0,3107
162.0,3108
166.0,3109
224.0,3110
206.0,3111
172.0,3112
193.0,3113
208.0,3114
184.0,3115
139.0,3116
166.0,3117
202.0,3118
